StockCode,Unit_Price,Price_Flag,Num_of_Pr,Ever_Marked
16054,0.42,Reg_Price,2,Marked
16054,0.12,MD,2,Marked
16216,1.25,Reg_Price,5,Marked
16216,0.42,MD,5,Marked
16216,0.16,MD,5,Marked
16216,0.12,MD,5,Marked
16216,0.06,MD,5,Marked
16218,2.13,Reg_Price,6,Marked
16218,2.08,MD,6,Marked
16218,0.42,MD,6,Marked
16218,0.16,MD,6,Marked
16218,0.12,MD,6,Marked
16218,0.06,MD,6,Marked
16219,1.7,Reg_Price,6,Marked
16219,1.67,MD,6,Marked
16219,0.83,MD,6,Marked
16219,0.21,MD,6,Marked
16219,0.16,MD,6,Marked
16219,0.06,MD,6,Marked
16225,3.36,Reg_Price,8,Marked
16225,3.29,MD,8,Marked
16225,1.25,MD,8,Marked
16225,1.06,MD,8,Marked
16225,0.85,MD,8,Marked
16225,0.83,MD,8,Marked
16225,0.42,MD,8,Marked
16225,0.39,MD,8,Marked
16235,0.43,Reg_Price,4,Marked
16235,0.42,MD,4,Marked
16235,0.21,MD,4,Marked
16235,0.16,MD,4,Marked
16236,0.43,Reg_Price,4,Marked
16236,0.42,MD,4,Marked
16236,0.21,MD,4,Marked
16236,0.16,MD,4,Marked
16237,0.43,Reg_Price,4,Marked
16237,0.42,MD,4,Marked
16237,0.21,MD,4,Marked
16237,0.16,MD,4,Marked
16238,0.43,Reg_Price,4,Marked
16238,0.42,MD,4,Marked
16238,0.21,MD,4,Marked
16238,0.16,MD,4,Marked
16254,1.63,Reg_Price,3,Marked
16254,0.85,MD,3,Marked
16254,0,MD,3,Marked
16259,0.21,Reg_Price,3,Marked
16259,0.08,MD,3,Marked
16259,0,MD,3,Marked
17001,0.29,Reg_Price,1,Always_Reg
17003,57.6,Reg_Price,11,Marked
17003,0.83,MD,11,Marked
17003,0.63,MD,11,Marked
17003,0.43,MD,11,Marked
17003,0.42,MD,11,Marked
17003,0.39,MD,11,Marked
17003,0.32,MD,11,Marked
17003,0.29,MD,11,Marked
17003,0.25,MD,11,Marked
17003,0.21,MD,11,Marked
17003,0.16,MD,11,Marked
17021,0.3,Reg_Price,2,Marked
17021,0.24,MD,2,Marked
17038,0.85,Reg_Price,4,Marked
17038,0.83,MD,4,Marked
17038,0.1,MD,4,Marked
17038,0.07,MD,4,Marked
17096,0.43,Reg_Price,5,Marked
17096,0.42,MD,5,Marked
17096,0.21,MD,5,Marked
17096,0.17,MD,5,Marked
17096,0,MD,5,Marked
17174,0.42,Reg_Price,1,Always_Reg
18007,0.43,Reg_Price,5,Marked
18007,0.42,MD,5,Marked
18007,0.18,MD,5,Marked
18007,0.06,MD,5,Marked
18007,0,MD,5,Marked
20615,4.21,Reg_Price,7,Marked
20615,4.13,MD,7,Marked
20615,2.1,MD,7,Marked
20615,1.66,MD,7,Marked
20615,1.63,MD,7,Marked
20615,0.75,MD,7,Marked
20615,0,MD,7,Marked
20616,4.21,Reg_Price,6,Marked
20616,4.13,MD,6,Marked
20616,2.1,MD,6,Marked
20616,1.66,MD,6,Marked
20616,1.63,MD,6,Marked
20616,0.75,MD,6,Marked
20617,4.21,Reg_Price,7,Marked
20617,4.13,MD,7,Marked
20617,2.1,MD,7,Marked
20617,1.69,MD,7,Marked
20617,1.66,MD,7,Marked
20617,1.63,MD,7,Marked
20617,0.83,MD,7,Marked
20618,4.21,Reg_Price,6,Marked
20618,4.13,MD,6,Marked
20618,2.1,MD,6,Marked
20618,1.69,MD,6,Marked
20618,1.66,MD,6,Marked
20618,1.63,MD,6,Marked
20619,4.21,Reg_Price,7,Marked
20619,4.13,MD,7,Marked
20619,2.1,MD,7,Marked
20619,1.69,MD,7,Marked
20619,1.66,MD,7,Marked
20619,1.63,MD,7,Marked
20619,0.75,MD,7,Marked
20622,4.21,Reg_Price,7,Marked
20622,4.13,MD,7,Marked
20622,2.1,MD,7,Marked
20622,1.69,MD,7,Marked
20622,1.66,MD,7,Marked
20622,1.63,MD,7,Marked
20622,0.75,MD,7,Marked
20652,2.51,Reg_Price,6,Marked
20652,2.46,MD,6,Marked
20652,1.25,MD,6,Marked
20652,0.85,MD,6,Marked
20652,0.83,MD,6,Marked
20652,0,MD,6,Marked
20653,2.51,Reg_Price,5,Marked
20653,2.46,MD,5,Marked
20653,1.25,MD,5,Marked
20653,0.85,MD,5,Marked
20653,0.83,MD,5,Marked
20654,2.46,Reg_Price,5,Marked
20654,1.25,MD,5,Marked
20654,1.06,MD,5,Marked
20654,0.85,MD,5,Marked
20654,0.83,MD,5,Marked
20655,2.51,Reg_Price,6,Marked
20655,2.46,MD,6,Marked
20655,1.25,MD,6,Marked
20655,1.06,MD,6,Marked
20655,0.85,MD,6,Marked
20655,0.83,MD,6,Marked
20657,2.46,Reg_Price,3,Marked
20657,1.25,MD,3,Marked
20657,1.06,MD,3,Marked
20658,2.51,Reg_Price,4,Marked
20658,2.46,MD,4,Marked
20658,1.25,MD,4,Marked
20658,0,MD,4,Marked
20659,2.51,Reg_Price,6,Marked
20659,2.46,MD,6,Marked
20659,1.25,MD,6,Marked
20659,1.06,MD,6,Marked
20659,0.85,MD,6,Marked
20659,0.83,MD,6,Marked
20661,5.79,Reg_Price,3,Marked
20661,2.95,MD,3,Marked
20661,2.46,MD,3,Marked
20662,5.79,Reg_Price,4,Marked
20662,2.95,MD,4,Marked
20662,2.51,MD,4,Marked
20662,2.46,MD,4,Marked
20663,5.79,Reg_Price,4,Marked
20663,2.95,MD,4,Marked
20663,2.51,MD,4,Marked
20663,2.46,MD,4,Marked
20664,2.95,Reg_Price,3,Marked
20664,2.46,MD,3,Marked
20664,0,MD,3,Marked
20665,5.91,Reg_Price,6,Marked
20665,5.79,MD,6,Marked
20665,2.95,MD,6,Marked
20665,2.55,MD,6,Marked
20665,2.46,MD,6,Marked
20665,0,MD,6,Marked
20666,2.95,Reg_Price,4,Marked
20666,2.46,MD,4,Marked
20666,0.83,MD,4,Marked
20666,0,MD,4,Marked
20667,2.95,Reg_Price,2,Marked
20667,2.46,MD,2,Marked
20668,0.43,Reg_Price,4,Marked
20668,0.42,MD,4,Marked
20668,0.12,MD,4,Marked
20668,0.1,MD,4,Marked
20669,2.51,Reg_Price,5,Marked
20669,2.46,MD,5,Marked
20669,1.25,MD,5,Marked
20669,0.83,MD,5,Marked
20669,0,MD,5,Marked
20670,5.79,Reg_Price,3,Marked
20670,2.95,MD,3,Marked
20670,2.46,MD,3,Marked
20671,1.25,Reg_Price,2,Marked
20671,0,MD,2,Marked
20674,2.51,Reg_Price,4,Marked
20674,2.46,MD,4,Marked
20674,1.25,MD,4,Marked
20674,1.06,MD,4,Marked
20675,2.51,Reg_Price,6,Marked
20675,2.46,MD,6,Marked
20675,1.66,MD,6,Marked
20675,1.63,MD,6,Marked
20675,1.25,MD,6,Marked
20675,1.06,MD,6,Marked
20676,3.36,Reg_Price,7,Marked
20676,2.51,MD,7,Marked
20676,2.46,MD,7,Marked
20676,1.66,MD,7,Marked
20676,1.63,MD,7,Marked
20676,1.25,MD,7,Marked
20676,1.06,MD,7,Marked
20677,3.36,Reg_Price,7,Marked
20677,2.51,MD,7,Marked
20677,2.46,MD,7,Marked
20677,1.66,MD,7,Marked
20677,1.63,MD,7,Marked
20677,1.25,MD,7,Marked
20677,1.06,MD,7,Marked
20678,1.65,Reg_Price,1,Always_Reg
20679,12.72,Reg_Price,5,Marked
20679,12.46,MD,5,Marked
20679,5.95,MD,5,Marked
20679,4.95,MD,5,Marked
20679,4.6,MD,5,Marked
20681,6.77,Reg_Price,4,Marked
20681,6.63,MD,4,Marked
20681,3.25,MD,4,Marked
20681,0,MD,4,Marked
20682,6.77,Reg_Price,5,Marked
20682,6.63,MD,5,Marked
20682,3.25,MD,5,Marked
20682,2.75,MD,5,Marked
20682,0,MD,5,Marked
20684,6.77,Reg_Price,3,Marked
20684,3.25,MD,3,Marked
20684,0,MD,3,Marked
20685,16.98,Reg_Price,14,Marked
20685,16.63,MD,14,Marked
20685,15.79,MD,14,Marked
20685,14.43,MD,14,Marked
20685,14.13,MD,14,Marked
20685,8.29,MD,14,Marked
20685,8.25,MD,14,Marked
20685,8,MD,14,Marked
20685,7.95,MD,14,Marked
20685,7.46,MD,14,Marked
20685,7.08,MD,14,Marked
20685,6.75,MD,14,Marked
20685,4.58,MD,14,Marked
20685,0,MD,14,Marked
20686,6.77,Reg_Price,4,Marked
20686,6.63,MD,4,Marked
20686,3.25,MD,4,Marked
20686,0,MD,4,Marked
20689,0,Reg_Price,1,Always_Reg
20694,7.62,Reg_Price,4,Marked
20694,7.46,MD,4,Marked
20694,3.75,MD,4,Marked
20694,0,MD,4,Marked
20695,4.25,Reg_Price,1,Always_Reg
20696,7.62,Reg_Price,5,Marked
20696,7.46,MD,5,Marked
20696,3.75,MD,5,Marked
20696,3.36,MD,5,Marked
20696,3.29,MD,5,Marked
20697,2.55,Reg_Price,1,Always_Reg
20698,2.55,Reg_Price,1,Always_Reg
20699,5.06,Reg_Price,5,Marked
20699,2.55,MD,5,Marked
20699,2.51,MD,5,Marked
20699,2.46,MD,5,Marked
20699,0,MD,5,Marked
20700,10.17,Reg_Price,5,Marked
20700,9.96,MD,5,Marked
20700,4.13,MD,5,Marked
20700,3.75,MD,5,Marked
20700,0,MD,5,Marked
20701,4.13,Reg_Price,3,Marked
20701,3.75,MD,3,Marked
20701,0,MD,3,Marked
20702,8.29,Reg_Price,3,Marked
20702,4.25,MD,3,Marked
20702,0,MD,3,Marked
20703,4.25,Reg_Price,1,Always_Reg
20704,14.43,Reg_Price,4,Marked
20704,14.13,MD,4,Marked
20704,6.95,MD,4,Marked
20704,1.95,MD,4,Marked
20705,6.95,Reg_Price,2,Marked
20705,1.95,MD,2,Marked
20707,2.51,Reg_Price,5,Marked
20707,2.46,MD,5,Marked
20707,1.25,MD,5,Marked
20707,1.06,MD,5,Marked
20707,0.83,MD,5,Marked
20711,4.21,Reg_Price,7,Marked
20711,4.13,MD,7,Marked
20711,2.08,MD,7,Marked
20711,1.95,MD,7,Marked
20711,1.79,MD,7,Marked
20711,1.65,MD,7,Marked
20711,0,MD,7,Marked
20712,5.06,Reg_Price,10,Marked
20712,4.96,MD,10,Marked
20712,4.21,MD,10,Marked
20712,4.13,MD,10,Marked
20712,2.08,MD,10,Marked
20712,1.95,MD,10,Marked
20712,1.79,MD,10,Marked
20712,1.75,MD,10,Marked
20712,1.74,MD,10,Marked
20712,1.65,MD,10,Marked
20713,4.21,Reg_Price,9,Marked
20713,4.13,MD,9,Marked
20713,2.08,MD,9,Marked
20713,1.95,MD,9,Marked
20713,1.79,MD,9,Marked
20713,1.75,MD,9,Marked
20713,1.74,MD,9,Marked
20713,1.65,MD,9,Marked
20713,0,MD,9,Marked
20716,2.51,Reg_Price,6,Marked
20716,2.46,MD,6,Marked
20716,1.25,MD,6,Marked
20716,1.06,MD,6,Marked
20716,0.83,MD,6,Marked
20716,0,MD,6,Marked
20717,3.36,Reg_Price,7,Marked
20717,2.51,MD,7,Marked
20717,2.46,MD,7,Marked
20717,1.25,MD,7,Marked
20717,1.06,MD,7,Marked
20717,0.85,MD,7,Marked
20717,0.83,MD,7,Marked
20718,3.36,Reg_Price,6,Marked
20718,3.29,MD,6,Marked
20718,2.51,MD,6,Marked
20718,2.46,MD,6,Marked
20718,1.25,MD,6,Marked
20718,1.06,MD,6,Marked
20719,2.51,Reg_Price,8,Marked
20719,2.46,MD,8,Marked
20719,1.95,MD,8,Marked
20719,1.66,MD,8,Marked
20719,1.63,MD,8,Marked
20719,0.85,MD,8,Marked
20719,0.72,MD,8,Marked
20719,0,MD,8,Marked
20723,2.51,Reg_Price,6,Marked
20723,2.46,MD,6,Marked
20723,1.66,MD,6,Marked
20723,1.63,MD,6,Marked
20723,0.85,MD,6,Marked
20723,0.72,MD,6,Marked
20724,5.63,Reg_Price,9,Marked
20724,2.51,MD,9,Marked
20724,2.46,MD,9,Marked
20724,1.95,MD,9,Marked
20724,1.66,MD,9,Marked
20724,1.63,MD,9,Marked
20724,0.85,MD,9,Marked
20724,0.72,MD,9,Marked
20724,0,MD,9,Marked
20725,8.33,Reg_Price,8,Marked
20725,5.06,MD,8,Marked
20725,4.96,MD,8,Marked
20725,4.21,MD,8,Marked
20725,4.13,MD,8,Marked
20725,3.3,MD,8,Marked
20725,1.65,MD,8,Marked
20725,1.45,MD,8,Marked
20726,8.33,Reg_Price,8,Marked
20726,5.06,MD,8,Marked
20726,4.96,MD,8,Marked
20726,4.21,MD,8,Marked
20726,4.13,MD,8,Marked
20726,1.65,MD,8,Marked
20726,1.45,MD,8,Marked
20726,0,MD,8,Marked
20727,8.33,Reg_Price,7,Marked
20727,5.06,MD,7,Marked
20727,4.96,MD,7,Marked
20727,4.21,MD,7,Marked
20727,4.13,MD,7,Marked
20727,1.65,MD,7,Marked
20727,1.45,MD,7,Marked
20728,5.06,Reg_Price,6,Marked
20728,4.96,MD,6,Marked
20728,4.21,MD,6,Marked
20728,4.13,MD,6,Marked
20728,1.65,MD,6,Marked
20728,1.45,MD,6,Marked
20731,1.25,Reg_Price,3,Marked
20731,0.83,MD,3,Marked
20731,0,MD,3,Marked
20733,1.63,Reg_Price,4,Marked
20733,0.85,MD,4,Marked
20733,0.83,MD,4,Marked
20733,0.72,MD,4,Marked
20734,2.51,Reg_Price,4,Marked
20734,1.66,MD,4,Marked
20734,1.63,MD,4,Marked
20734,0,MD,4,Marked
20735,2.51,Reg_Price,7,Marked
20735,1.66,MD,7,Marked
20735,1.63,MD,7,Marked
20735,0.85,MD,7,Marked
20735,0.83,MD,7,Marked
20735,0.72,MD,7,Marked
20735,0,MD,7,Marked
20738,0,Reg_Price,1,Always_Reg
20748,24.96,Reg_Price,3,Marked
20748,12.75,MD,3,Marked
20748,0,MD,3,Marked
20749,16.98,Reg_Price,4,Marked
20749,16.63,MD,4,Marked
20749,7.95,MD,4,Marked
20749,6.35,MD,4,Marked
20750,16.98,Reg_Price,4,Marked
20750,16.63,MD,4,Marked
20750,7.95,MD,4,Marked
20750,6.35,MD,4,Marked
20751,4.21,Reg_Price,5,Marked
20751,4.13,MD,5,Marked
20751,2.1,MD,5,Marked
20751,1.69,MD,5,Marked
20751,0,MD,5,Marked
20752,4.21,Reg_Price,5,Marked
20752,4.13,MD,5,Marked
20752,2.46,MD,5,Marked
20752,2.1,MD,5,Marked
20752,0,MD,5,Marked
20754,4.21,Reg_Price,5,Marked
20754,4.13,MD,5,Marked
20754,2.1,MD,5,Marked
20754,1.69,MD,5,Marked
20754,0,MD,5,Marked
20755,1.66,Reg_Price,3,Marked
20755,1.63,MD,3,Marked
20755,0.85,MD,3,Marked
20756,0.85,Reg_Price,2,Marked
20756,0,MD,2,Marked
20757,1.63,Reg_Price,2,Marked
20757,0.85,MD,2,Marked
20758,0.85,Reg_Price,2,Marked
20758,0,MD,2,Marked
20759,0.85,Reg_Price,2,Marked
20759,0,MD,2,Marked
20760,0.85,Reg_Price,2,Marked
20760,0,MD,2,Marked
20761,7.62,Reg_Price,3,Marked
20761,7.46,MD,3,Marked
20761,3.75,MD,3,Marked
20762,7.62,Reg_Price,3,Marked
20762,7.46,MD,3,Marked
20762,3.75,MD,3,Marked
20763,7.62,Reg_Price,4,Marked
20763,7.46,MD,4,Marked
20763,3.75,MD,4,Marked
20763,1.25,MD,4,Marked
20764,7.62,Reg_Price,3,Marked
20764,7.46,MD,3,Marked
20764,3.75,MD,3,Marked
20765,7.62,Reg_Price,3,Marked
20765,7.46,MD,3,Marked
20765,3.75,MD,3,Marked
20766,7.62,Reg_Price,4,Marked
20766,7.46,MD,4,Marked
20766,3.75,MD,4,Marked
20766,2.95,MD,4,Marked
20767,5.06,Reg_Price,5,Marked
20767,4.96,MD,5,Marked
20767,2.55,MD,5,Marked
20767,2.46,MD,5,Marked
20767,2.1,MD,5,Marked
20768,5.06,Reg_Price,5,Marked
20768,4.96,MD,5,Marked
20768,2.55,MD,5,Marked
20768,2.46,MD,5,Marked
20768,2.1,MD,5,Marked
20769,4.96,Reg_Price,3,Marked
20769,2.55,MD,3,Marked
20769,2.46,MD,3,Marked
20770,2.55,Reg_Price,4,Marked
20770,2.51,MD,4,Marked
20770,2.46,MD,4,Marked
20770,2.1,MD,4,Marked
20771,4.96,Reg_Price,3,Marked
20771,2.55,MD,3,Marked
20771,2.46,MD,3,Marked
20772,5.06,Reg_Price,5,Marked
20772,4.96,MD,5,Marked
20772,2.55,MD,5,Marked
20772,2.46,MD,5,Marked
20772,2.1,MD,5,Marked
20773,1.65,Reg_Price,2,Marked
20773,0,MD,2,Marked
20774,1.65,Reg_Price,3,Marked
20774,1.63,MD,3,Marked
20774,0,MD,3,Marked
20775,3.36,Reg_Price,4,Marked
20775,1.65,MD,4,Marked
20775,1.63,MD,4,Marked
20775,0,MD,4,Marked
20777,3.36,Reg_Price,4,Marked
20777,3.29,MD,4,Marked
20777,1.65,MD,4,Marked
20777,1.63,MD,4,Marked
20778,1.65,Reg_Price,2,Marked
20778,0,MD,2,Marked
20780,11.02,Reg_Price,4,Marked
20780,10.79,MD,4,Marked
20780,5.49,MD,4,Marked
20780,4.65,MD,4,Marked
20781,11.02,Reg_Price,4,Marked
20781,10.79,MD,4,Marked
20781,5.49,MD,4,Marked
20781,1.95,MD,4,Marked
20782,11.02,Reg_Price,4,Marked
20782,10.79,MD,4,Marked
20782,5.49,MD,4,Marked
20782,1.95,MD,4,Marked
20785,39.95,Reg_Price,3,Marked
20785,35.95,MD,3,Marked
20785,0,MD,3,Marked
20793,6.75,Reg_Price,2,Marked
20793,0,MD,2,Marked
20794,5.06,Reg_Price,4,Marked
20794,4.96,MD,4,Marked
20794,2.55,MD,4,Marked
20794,2.1,MD,4,Marked
20795,4.13,Reg_Price,2,Marked
20795,2.1,MD,2,Marked
20796,3.29,Reg_Price,2,Marked
20796,1.65,MD,2,Marked
20798,2.1,Reg_Price,3,Marked
20798,1.65,MD,3,Marked
20798,0,MD,3,Marked
20801,5.06,Reg_Price,8,Marked
20801,4.96,MD,8,Marked
20801,2.55,MD,8,Marked
20801,2.51,MD,8,Marked
20801,2.46,MD,8,Marked
20801,0.79,MD,8,Marked
20801,0.75,MD,8,Marked
20801,0,MD,8,Marked
20802,3.36,Reg_Price,5,Marked
20802,3.29,MD,5,Marked
20802,1.65,MD,5,Marked
20802,1.45,MD,5,Marked
20802,0.42,MD,5,Marked
20803,3.36,Reg_Price,6,Marked
20803,3.29,MD,6,Marked
20803,1.65,MD,6,Marked
20803,0.42,MD,6,Marked
20803,0.39,MD,6,Marked
20803,0,MD,6,Marked
20816,1.95,Reg_Price,2,Marked
20816,0,MD,2,Marked
20818,7.62,Reg_Price,4,Marked
20818,7.46,MD,4,Marked
20818,3.75,MD,4,Marked
20818,1.25,MD,4,Marked
20819,7.46,Reg_Price,4,Marked
20819,3.75,MD,4,Marked
20819,2.51,MD,4,Marked
20819,2.46,MD,4,Marked
20820,4.95,Reg_Price,2,Marked
20820,0,MD,2,Marked
20821,4.95,Reg_Price,2,Marked
20821,0,MD,2,Marked
20823,0.79,Reg_Price,2,Marked
20823,0,MD,2,Marked
20825,0,Reg_Price,1,Always_Reg
20826,2.12,Reg_Price,3,Marked
20826,0.39,MD,3,Marked
20826,0,MD,3,Marked
20827,0.39,Reg_Price,2,Marked
20827,0,MD,2,Marked
20828,5.06,Reg_Price,4,Marked
20828,4.96,MD,4,Marked
20828,2.55,MD,4,Marked
20828,2.1,MD,4,Marked
20829,4.21,Reg_Price,4,Marked
20829,4.13,MD,4,Marked
20829,2.1,MD,4,Marked
20829,1.69,MD,4,Marked
20830,4.21,Reg_Price,3,Marked
20830,4.13,MD,3,Marked
20830,2.1,MD,3,Marked
20831,4.21,Reg_Price,5,Marked
20831,4.13,MD,5,Marked
20831,2.1,MD,5,Marked
20831,1.69,MD,5,Marked
20831,0.79,MD,5,Marked
20832,1.66,Reg_Price,8,Marked
20832,1.63,MD,8,Marked
20832,0.85,MD,8,Marked
20832,0.81,MD,8,Marked
20832,0.79,MD,8,Marked
20832,0.72,MD,8,Marked
20832,0.39,MD,8,Marked
20832,0,MD,8,Marked
20835,11.02,Reg_Price,2,Marked
20835,0.83,MD,2,Marked
20836,0.83,Reg_Price,1,Always_Reg
20837,2.95,Reg_Price,2,Marked
20837,0.83,MD,2,Marked
20838,3.29,Reg_Price,2,Marked
20838,0.85,MD,2,Marked
20839,9.32,Reg_Price,6,Marked
20839,9.13,MD,6,Marked
20839,3.29,MD,6,Marked
20839,2.95,MD,6,Marked
20839,0.85,MD,6,Marked
20839,0,MD,6,Marked
20840,9.32,Reg_Price,4,Marked
20840,3.29,MD,4,Marked
20840,0.85,MD,4,Marked
20840,0,MD,4,Marked
20845,6.35,Reg_Price,1,Always_Reg
20846,2.51,Reg_Price,4,Marked
20846,2.46,MD,4,Marked
20846,1.25,MD,4,Marked
20846,1.06,MD,4,Marked
20847,7.62,Reg_Price,3,Marked
20847,7.46,MD,3,Marked
20847,3.75,MD,3,Marked
20848,2.95,Reg_Price,1,Always_Reg
20849,0,Reg_Price,1,Always_Reg
20850,0,Reg_Price,1,Always_Reg
20851,5.95,Reg_Price,2,Marked
20851,0,MD,2,Marked
20854,3.36,Reg_Price,6,Marked
20854,1.66,MD,6,Marked
20854,1.65,MD,6,Marked
20854,1.63,MD,6,Marked
20854,1.45,MD,6,Marked
20854,0,MD,6,Marked
20856,3.29,Reg_Price,5,Marked
20856,1.66,MD,5,Marked
20856,1.65,MD,5,Marked
20856,1.63,MD,5,Marked
20856,0,MD,5,Marked
20857,1.65,Reg_Price,2,Marked
20857,0,MD,2,Marked
20860,2.1,Reg_Price,2,Marked
20860,0,MD,2,Marked
20861,2.1,Reg_Price,1,Always_Reg
20863,0,Reg_Price,1,Always_Reg
20864,0,Reg_Price,1,Always_Reg
20866,2.51,Reg_Price,7,Marked
20866,2.46,MD,7,Marked
20866,1.25,MD,7,Marked
20866,1.06,MD,7,Marked
20866,0.85,MD,7,Marked
20866,0.83,MD,7,Marked
20866,0,MD,7,Marked
20867,2.51,Reg_Price,7,Marked
20867,2.46,MD,7,Marked
20867,1.25,MD,7,Marked
20867,1.06,MD,7,Marked
20867,0.85,MD,7,Marked
20867,0.83,MD,7,Marked
20867,0,MD,7,Marked
20868,2.46,Reg_Price,5,Marked
20868,1.25,MD,5,Marked
20868,0.85,MD,5,Marked
20868,0.83,MD,5,Marked
20868,0.39,MD,5,Marked
20869,2.46,Reg_Price,5,Marked
20869,1.28,MD,5,Marked
20869,0.85,MD,5,Marked
20869,0.83,MD,5,Marked
20869,0.39,MD,5,Marked
20871,4.21,Reg_Price,1,Always_Reg
20878,1.25,Reg_Price,2,Marked
20878,0,MD,2,Marked
20886,4.21,Reg_Price,5,Marked
20886,4.13,MD,5,Marked
20886,1.95,MD,5,Marked
20886,1.65,MD,5,Marked
20886,0,MD,5,Marked
20892,25.49,Reg_Price,3,Marked
20892,12.75,MD,3,Marked
20892,0,MD,3,Marked
20893,5.06,Reg_Price,5,Marked
20893,4.96,MD,5,Marked
20893,2.55,MD,5,Marked
20893,2.1,MD,5,Marked
20893,0,MD,5,Marked
20894,5.79,Reg_Price,2,Marked
20894,2.95,MD,2,Marked
20896,0,Reg_Price,1,Always_Reg
20897,5.91,Reg_Price,4,Marked
20897,2.95,MD,4,Marked
20897,2.55,MD,4,Marked
20897,2.46,MD,4,Marked
20898,2.95,Reg_Price,3,Marked
20898,2.46,MD,3,Marked
20898,0,MD,3,Marked
20901,6.35,Reg_Price,2,Marked
20901,4.13,MD,2,Marked
20902,12.72,Reg_Price,6,Marked
20902,12.46,MD,6,Marked
20902,6.35,MD,6,Marked
20902,5.55,MD,6,Marked
20902,4.13,MD,6,Marked
20902,0,MD,6,Marked
20903,12.72,Reg_Price,5,Marked
20903,12.46,MD,5,Marked
20903,6.35,MD,5,Marked
20903,4.13,MD,5,Marked
20903,0,MD,5,Marked
20906,2.95,Reg_Price,2,Marked
20906,0,MD,2,Marked
20910,6.35,Reg_Price,2,Marked
20910,0,MD,2,Marked
20914,5.91,Reg_Price,4,Marked
20914,5.79,MD,4,Marked
20914,2.95,MD,4,Marked
20914,2.55,MD,4,Marked
20931,7.62,Reg_Price,5,Marked
20931,7.46,MD,5,Marked
20931,3.75,MD,5,Marked
20931,2.95,MD,5,Marked
20931,1.25,MD,5,Marked
20932,7.62,Reg_Price,5,Marked
20932,7.46,MD,5,Marked
20932,3.75,MD,5,Marked
20932,2.95,MD,5,Marked
20932,1.25,MD,5,Marked
20933,3.75,Reg_Price,3,Marked
20933,2.95,MD,3,Marked
20933,0,MD,3,Marked
